p,pl_,count,ol_
http://www.wikidata.org/prop/direct/P407,language of work or name,1,Polish
http://www.wikidata.org/prop/direct/P31,instance of,1,book series
http://www.wikidata.org/prop/direct/P495,country of origin,1,Poland
http://www.wikidata.org/prop/direct/P136,genre,1,fantasy
http://www.wikidata.org/prop/direct/P1889,different from,4,"The Witcher, Wiedźmin, The Witcher (polish comic book), The Witcher"
http://www.wikidata.org/prop/direct/P4969,derivative work,12,"The Witcher 2: Assassins of Kings, The Witcher, The Hexer, The Witcher Battle Arena, Road without return, The Witcher 3: Wild Hunt, The Witcher Adventure Game, The Hexer, The Witcher, Alzur's Legacy, The Witcher: Nightmare of the Wolf, The Witcher: Blood Origin"
http://www.wikidata.org/prop/direct/P674,characters,7,"Dandelion, Cirilla Fiona Elen Riannon, Geralt of Rivia, Yennefer of Vengerberg, Triss Merigold, Emhyr var Emreis, Vesemir"
http://www.wikidata.org/prop/direct/P50,author,1,Andrzej Sapkowski
http://www.wikidata.org/prop/direct/P527,has part(s),10,"Time of Contempt, The Last Wish, The Tower of the Swallow, Lady of the Lake, The Road with No Return, Blood of Elves, The Sword of Destiny, Baptism of Fire, Something ends, Something begins, Season of Storms"
http://www.wikidata.org/prop/direct/P1434,takes place in fictional universe,1,The Witcher universe
http://www.wikidata.org/prop/direct/P123,publisher,1,SuperNowa
http://www.wikidata.org/prop/direct/P1424,topic's main template,1,Template:The Witcher
